"","Fungi","Relative_Abundance","Sampletime","Direction","Distance"
"565","Other",0,"TP0913","C",4
"566","Other",1,"TP1011","C",4
"567","Other",8,"TP0913","A",8
"568","Other",1,"TP1011","A",8
"569","Other",6,"TP0913","B",8
"570","Other",4,"TP1011","B",8
"571","Other",3,"TP0913","C",8
"572","Other",5,"TP1011","C",8
"573","Other",97,"TP0913","P",0
"574","Other",30,"TP1011","P",0
"575","Other",295,"TP0913","A",1
"576","Other",40,"TP1011","A",1
"577","Other",127,"TP0913","B",1
"578","Other",191,"TP1011","B",1
"579","Other",257,"TP0913","C",1
"580","Other",79,"TP1011","C",1
"581","Other",116,"TP0913","A",2
"582","Other",64,"TP1011","A",2
"583","Other",186,"TP0913","B",2
"584","Other",407,"TP1011","B",2
"585","Other",104,"TP0913","C",2
"586","Other",147,"TP1011","C",2
"587","Other",193,"TP0913","A",4
"588","Other",123,"TP1011","A",4
"589","Other",315,"TP0913","B",4
"590","Other",48,"TP1011","B",4
"591","Other",171,"TP0913","C",4
"592","Other",271,"TP1011","C",4
"593","Other",433,"TP0913","A",8
"594","Other",20,"TP1011","A",8
"595","Other",269,"TP0913","B",8
"596","Other",138,"TP1011","B",8
"597","Other",69,"TP0913","C",8
"598","Other",31,"TP1011","C",8
"599","Other",3,"TP0913","P",0
"600","Other",13,"TP1011","P",0
"601","Other",2,"TP0913","A",1
"602","Other",0,"TP1011","A",1
"603","Other",1,"TP0913","B",1
"604","Other",39,"TP1011","B",1
"605","Other",4,"TP0913","C",1
"606","Other",0,"TP1011","C",1
"607","Other",2,"TP0913","A",2
"608","Other",1,"TP1011","A",2
"609","Other",4,"TP0913","B",2
"610","Other",13,"TP1011","B",2
"611","Other",0,"TP0913","C",2
"612","Other",18,"TP1011","C",2
"613","Other",1,"TP0913","A",4
"614","Other",0,"TP1011","A",4
"615","Other",0,"TP0913","B",4
"616","Other",16,"TP1011","B",4
"617","Other",0,"TP0913","C",4
"618","Other",2,"TP1011","C",4
"619","Other",0,"TP0913","A",8
"620","Other",0,"TP1011","A",8
"621","Other",0,"TP0913","B",8
"622","Other",3,"TP1011","B",8
"623","Other",0,"TP0913","C",8
"624","Other",0,"TP1011","C",8
"625","Other",2,"TP0913","P",0
"626","Other",0,"TP1011","P",0
"627","Other",1,"TP0913","A",1
"628","Other",0,"TP1011","A",1
"629","Other",1,"TP0913","B",1
"630","Other",0,"TP1011","B",1
"631","Other",3,"TP0913","C",1
"632","Other",0,"TP1011","C",1
"633","Other",3,"TP0913","A",2
"634","Other",0,"TP1011","A",2
"635","Other",4,"TP0913","B",2
"636","Other",2,"TP1011","B",2
"637","Other",0,"TP0913","C",2
"638","Other",0,"TP1011","C",2
"639","Other",4,"TP0913","A",4
"640","Other",0,"TP1011","A",4
"641","Other",0,"TP0913","B",4
"642","Other",1,"TP1011","B",4
"643","Other",2,"TP0913","C",4
"644","Other",0,"TP1011","C",4
"645","Other",1,"TP0913","A",8
"646","Other",0,"TP1011","A",8
"647","Other",0,"TP0913","B",8
"648","Other",1,"TP1011","B",8
"649","Other",0,"TP0913","C",8
